ticket_id,description,category,priority
1,My laptop screen is completely black and I cannot turn it on,Hardware,High
2,I forgot my email password and cannot login,Account,Low
3,The entire office network is down and nobody can work,Network,High
4,My mouse is not working properly sometimes it skips,Hardware,Low
5,Server is down and all customer data is inaccessible,Server,High
6,I need Microsoft Word installed on my computer,Software,Low
7,Our database crashed and we lost today transactions,Database,High
8,My printer is printing blank pages,Hardware,Medium
9,I cannot open PDF files on my laptop,Software,Low
10,Email server is not sending emails for the whole company,Email,High
11,My keyboard some keys are not working,Hardware,Medium
12,I need access to the HR folder on shared drive,Access,Low
13,Website is down and customers cannot place orders,Network,High
14,My computer is running very slow today,Performance,Low
15,Security breach detected someone accessed our system,Security,High
16,I need to reset my VPN password,Account,Low
17,All printers in the office stopped working,Hardware,Medium
18,My monitor flickers sometimes,Hardware,Low
19,Payroll software crashed during salary processing,Software,High
20,I cannot connect to WiFi on my laptop,Network,Medium
21,Production server is overheating and may shut down,Server,High
22,I need a new mouse for my workstation,Hardware,Low
23,Customer portal is throwing errors for all users,Software,High
24,My Outlook keeps crashing when I open it,Software,Medium
25,Internet is very slow in the entire building,Network,Medium
26,I accidentally deleted an important project file,Data,High
27,My webcam is not working for video calls,Hardware,Low
28,Ransomware attack detected on company systems,Security,High
29,I need software installed for my new project,Software,Low
30,The backup system failed and no backups were taken,Backup,High
31,My headphones are not working with my computer,Hardware,Low
32,Company email down for past 3 hours,Email,High
33,I need a new desk phone setup,Hardware,Low
34,Application server memory is critically full,Server,High
35,My laptop battery drains very fast,Hardware,Medium
36,I cannot access my work files from home,Access,Medium
37,Database backup failed last night,Backup,Medium
38,I need to change my username in the system,Account,Low
39,Firewall blocking all outgoing traffic,Security,High
40,My computer shows blue screen of death,Hardware,High
41,I need more storage space on my laptop,Hardware,Low
42,ERP system is down and business operations stopped,Software,High
43,My computer clock shows wrong time,Software,Low
44,Network switch failed in main office floor,Network,High
45,I need to install antivirus on my laptop,Security,Low
46,Remote desktop connection is not working,Network,Medium
47,My laptop overheats and shuts down randomly,Hardware,Medium
48,All employees locked out of main application,Access,High
49,I need to create a new email account for new hire,Account,Low
50,Critical data corruption found in main database,Database,High
51,My speakers have no sound,Hardware,Low
52,Cannot access internet on my work laptop,Network,Medium
53,Data center cooling system failure risk,Server,High
54,I need Microsoft Excel on my computer,Software,Low
55,Multiple users reporting system login failures,Access,High
56,My laptop charger is broken,Hardware,Medium
57,I cannot print documents from my computer,Hardware,Medium
58,Unauthorized access attempt on admin account,Security,High
59,I need to update my phone number in HR system,Account,Low
60,Production database running out of disk space,Database,High
61,My laptop touchpad is not responding,Hardware,Medium
62,I need Adobe Reader installed,Software,Low
63,Company website hacked and defaced,Security,High
64,My work phone is not receiving calls,Hardware,Medium
65,Email attachments not opening for some users,Email,Medium
66,Server room UPS battery needs replacement soon,Server,High
67,I need a laptop stand for my desk,Hardware,Low
